Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região
BA;2905503;Caldeirão Grande;728,3157853;650,3319922;1116,20955;1110,68661;1418,931459;1474,036531;1606,507148;1848,665587;1329,591297;1387,637818;1516,639914;1771,5068;NORDESTE
MG;3137007;Ladainha;1256,995762;1300,980987;1197,225031;1344,263313;1309,877126;1313,393222;1385,338776;1484,949362;1544,646915;1627,869561;1681,588716;1750,862762;SUDESTE
BA;2920700;Maraú;1258,40877;1389,589979;1335,048092;1389,748172;1407,812855;1403,929007;1434,525746;1445,506211;1728,808385;1865,568799;1943,524199;2171,785413;NORDESTE
CE;2304905;Groaíras;1260,416352;1260,097058;1155,819895;1346,498697;1357,958884;1326,302233;1313,565565;1366,040713;1489,838761;1565,624688;1610,431446;1765,171817;NORDESTE
MA;2109601;Rosário;1261,255027;1042,037364;1064,525101;1061,000826;1057,664259;1045,753884;1222,978648;1507,363206;1390,431128;1390,863618;1644,460295;1640,976211;NORDESTE
PA;1502004;Cachoeira do Arari;1261,318848;1100,251614;1560,37073;1518,224974;1423,650029;1376,306041;1361,626515;1482,899371;1395,207253;1397,490515;1486,857333;1546,871693;NORTE
MA;2111201;São José de Ribamar;1261,501216;1331,047416;1222,9224;1205,595496;1217,239926;1241,664455;1267,815036;1372,572901;1557,903599;1606,152183;1639,952294;1472,817227;NORDESTE
GO;5219753;Santo Antônio do Descoberto;1325,692764;1186,488345;1635,917632;1509,930431;1438,92057;1416,744382;1393,565662;1329,367225;1840,19863;1882,994352;1928,355721;1981,379015;CENTRO-OESTE
MG;3146750;Palmópolis;1361,584041;1442,847447;1269,332975;1361,809822;1409,974298;1294,713866;1304,991264;1233,297759;1766,380631;1920,397877;1897,677283;1985,687908;SUDESTE
MA;2108454;Peritoró;1419,685641;1395,45457;1199,018354;1180,621726;1252,502405;1259,489368;1031,056967;1208,388316;1276,816494;1208,154937;1352,467593;1453,584112;NORDESTE
MG;3127503;Gonzaga;1421,060245;1465,413159;1464,904848;1456,425942;1437,620028;1598,235715;1629,979415;1822,360848;1912,415012;2183,05423;1918,651036;2066,95665;SUDESTE
BA;2922102;Mundo Novo;1456,527999;1475,436854;1467,021707;1738,268995;1552,083199;1647,560474;2065,561019;2434,903456;1555,797818;1668,347767;1847,698639;2054,097337;NORDESTE
GO;5209408;Guarani de Goiás;1456,594931;1656,498033;1591,882708;1963,132945;2425,305841;2571,867853;2894,535384;3187,063776;3270,778397;3405,212945;3430,560375;3741,702498;CENTRO-OESTE
PE;2600807;Altinho;1457,072003;1469,933184;1451,442359;1468,462803;1444,489589;1458,065879;1551,565651;1628,657867;1617,054325;1638,488033;1756,182504;1867,099546;NORDESTE
GO;5219456;Santa Rita do Novo Destino;2378,976288;2834,790534;3252,020038;4063,874059;4636,010441;4459,000485;4402,570543;4209,573147;4560,092127;4209,392146;3964,905831;5754,516088;CENTRO-OESTE
PI;2207702;Parnaíba;2379,743505;2636,049526;2319,301907;1863,471087;1767,546335;2005,895169;2206,396346;2422,308981;2472,388744;2420,726217;2504,655715;2900,310976;NORDESTE
SC;4215687;Santa Terezinha do Progresso;2379,821871;2778,255354;3288,534311;3793,615575;4456,772168;5842,763218;5144,705706;4750,167933;4697,149278;5926,692665;6002,807074;5834,621092;SUL
CE;2311603;Redenção;2379,88727;2509,225614;2055,735422;1973,704953;1787,399354;1820,033837;1863,504218;2177,143813;1687,185628;1775,534336;1791,970808;2039,062647;NORDESTE
MG;3114808;Carvalhos;2380,341593;2456,173137;2341,256356;2423,918299;2471,266072;2394,785903;2523,536154;2452,485101;2623,730582;2745,303483;2748,716609;2943,110569;SUDESTE
MG;3124906;Eugenópolis;2381,230276;2340,707544;2549,855108;2267,898159;2382,947728;2411,683272;2573,575903;2705,580635;2744,813431;2815,968087;2997,278102;3059,106293;SUDESTE
SP;3526308;Lagoinha;2775,785524;2909,869229;3548,771358;3762,732978;3598,890426;3340,882062;3435,377871;3410,034992;4104,52025;4597,061358;4726,843833;4744,801757;SUDESTE
MG;3102803;Andrelândia;2778,387627;2656,018849;2718,019725;2791,231138;3435,018156;3411,432494;3382,593382;3012,917025;3375,366172;3663,452524;3569,560296;3812,088521;SUDESTE
PR;4101309;Antônio Olinto;2780,73181;3682,760653;3977,152285;4700,826765;5837,013113;5197,005593;4808,839812;4665,341593;5100,226276;5619,748026;4168,523693;5874,984271;SUL
PE;2604809;Cortês;2781,058025;2057,972151;2627,373378;2747,343552;2616,44443;2598,673663;3094,863207;2989,043138;3064,359291;2868,875473;3423,658254;3968,210745;NORDESTE
MG;3144375;Natalândia;2782,603643;2768,52091;2243,335037;2682,770501;2732,66527;2394,574585;2699,952686;2707,958388;2959,652764;3285,834999;3237,779973;3538,113095;SUDESTE
GO;5212956;Matrinchã;2783,398076;3694,28051;3345,272876;4267,549963;4487,886695;4713,909516;4045,240484;3617,612765;4426,954084;4976,785824;5017,853159;5811,932552;CENTRO-OESTE
MG;3159407;Santa Rita de Ibitipoca;2784,759712;2853,998262;2542,104515;2654,420763;2629,679023;2706,523472;2911,640637;2986,720977;3089,967113;3425,500323;3325,74294;3680,327903;SUDESTE
PR;4121505;Rebouças;2786,334797;2675,637479;2843,014458;3498,378961;4211,224347;4102,330612;3712,309089;3586,19521;3658,611733;4386,676639;3333,894766;4158,14042;SUL
ES;3200904;Barra de São Francisco;2787,76906;3253,411762;2977,774347;2958,407456;3290,722587;3767,537777;4105,313212;4306,988053;4556,82928;4186,436505;4582,536483;4745,469061;SUDESTE
SP;3520004;Igaraçu do Tietê;2789,014517;2836,701646;3078,5944;3110,762801;3018,342877;2765,327628;2926,559541;3007,886295;3220,3727;2974,985794;3167,178026;3450,219426;SUDESTE
MG;3111309;Campo do Meio;2789,462783;2976,72559;2827,022072;2810,725719;2472,313675;3857,523371;2677,119871;3653,744003;3400,504775;3474,267338;3434,589522;3512,262294;SUDESTE
SC;4203204;Camboriú;2790,277101;2991,131359;2828,866888;2764,354532;2951,588692;2854,18919;3029,38165;3172,274071;3382,113318;3610,3105;3721,261857;3983,441238;SUL
MS;5000708;Anastácio;2790,648662;3277,334829;3123,053553;3310,118252;3708,344081;4048,896541;4073,364113;4506,187442;4664,494037;4595,001368;4253,937555;3930,077077;CENTRO-OESTE
AC;1200435;Santa Rosa do Purus;2791,418105;2826,720293;2498,42691;2567,036894;2874,251963;2842,121491;2849,165173;2910,753136;3230,896874;3456,645978;3114,497655;3399,05607;NORTE
PA;1502202;Capanema;2791,951879;2270,180952;2531,1647;2474,146566;2270,372457;2278,612835;2345,730653;2574,558586;2820,112122;2894,210149;3077,736067;3513,066363;NORTE
